组名,标题意图,其他问法1,其他问法2,其他问法3,内容
常用回复,短信记录接收成功对方没收到短信,没有收到短信,,,"1、状态返回成功说明信息已发送至用户手机客户端；
成功状态收不到不排除是用户手机安装了如360等安全软件导致信息被拦截，用户可检查手机 如被拦截可重新设置接收；有时手机收件箱或内存太满、信号低或不在服务区内等情况也会导致用户接收信息异常
2、由于手机端未正确返回确认信号给运营商，造成运营商认为手机没有接收成功，尝试重新发送。请重启手机解决，必要的时候，取出手机卡，插入接收正常的接收完短信再插回原来的手机。"
常用回复,普通用户高级用户区别_,普通用户和高级用户有什么区别,,,"注册即成为普通用户，高级用户需另外申请。
普通用户：
速度：验证码类短信的接收速度在10s左右。
频率限制：走共享通道，频率受运营商限制。
验证码短信，同一号码1小时内只能接受3条；通知类短信，24小时之内只能接受30条，超出则会接受失败。
短信内容：只能发送验证码及系统通知类短信。

高级用户：
速度：验证码类短信的接收速度在5s左右。
发送频率：走专用通道，频率不受运营商限制。
短信内容：可以发送验证码、系统通知及会员营销类短信。

如果对短信频率有较高要求，以及需要发送营销短信的用户请于左侧菜单栏，设置-申请高级用户。"
常用回复,邀评,谢谢,,,"请问您还有其他问题需要咨询吗？没有的话麻烦稍候对我的服务做下评价，非常感谢您的支持。么么哒~
"
常用回复,条数计费_,计费规则,,,计费规则：超过70字的，按67个字算一条短信来计费。
常用回复,为什么返回_HTTP_Status_405_-_Method_Not_Allowed_,,,," API不支持当前的访问方法。某些API只支持POST方法的，使用GET方式访问就会提示该错误。具体访问方式请参考对应的API下方访问方式说明 
"
常用回复,为什么返回_HTTP_Status_406_Not_acceptable_,,,,需要设置请求的HTTP头信息为：Accept:application/json; charset=utf-8;Content-Type:application/x-www-form-urlencoded;charset=utf-8;请参考： https://www.yunpian.com/api2.0/document-usage.html
常用回复,开头语,你好,您好,,"您好，请问有什么可以帮您呢？
"
常用回复,等待返回,等待返回是什么意思,,,"【等待返回】主要是指没有收到运营商返回的状态报告，没反馈可能是①手机信号②手机停机③地方移动问题④确实信息丢失⑤其他。
"
常用回复,不加验证码,,,,"我们是建议用户加验证码，防止被轰炸，万一被轰炸，后果是需要您自己承担的，我们也是为了客户利益着想的呢，您如果真的不加，我们也可以让您通过，就是风险需要您自己承担的哦，如果您同意的话，就在网址栏写“开发中”
"
常用回复,短信收不到,收不到短信,,,遇到收不到短信的情况：1.去短信记录里面看，没有的话，2.去失败请求记录里面看。3.都没有的话，就让您的技术查看发送请求日志，因为没有请求到云片
常用回复,未找到匹配模板,,,,报这个错，1：去确认下是否有这个通过的模板。2.apikey是否正确。3.有的话，就去进行第二步操作，是否匹配成功，我们也是这样排查的，您试试
常用回复,加技术群,,,,SDK群：106469530，您可以申请加入到Q群，如果有问题可以在群里咨询哦
常用回复,群发短信开通,,,,"您要发什么短信呢？文案发我看下，如果可以的话，直接帮您开通，如果您有技术的话，直接让技术人员调用接口就可以了，不用我们来开通的 
"
常用回复,创建营销账号,,,,先升级高级用户（3~5个工作日），然后再创建营销签名（5个工作日审核），然后就可以发了，每个月都扣至少300元
常用回复,普通变营销,,,,您先升级高级，需要3个工作日；通过以后在管理控制台创建营销子账号，建立营销签名，我们会将您的签名报备给运营商，大概要2-5个工作日
常用回复,签名规则,,,,运营商签名规则：请使用3-8字中文、中英文结合（无符号空格）的公司、网站或产品名。签名前置，必须带有签名的短信能发送；签名可以是公司名简称、产品简称、网站或者app简称。
常用回复,到达率,,,,"验证码短信5s内 99%+
验证码类：到达率：95%~98%，时间：5~10秒
通知类：  到达率：95%~98%，时间：5~40秒
营销类：  到达率：85%~95%，时间：5分钟"
常用回复,A类黑名单解释话术,,,,黑名单信息是运营商同步给我们的，一般这类客户是有过投诉表示拒绝接收10690发送的短信。去年7月份工信部执行了新的政策规则，1000W条短信投诉要控制在6个之内，否则通道要面临关停的风险。优质通道来之不易，所以我们执行黑名单政策，一方面是因为客户的确有过投诉，一方面也是想要保护通道。这个黑名单的确没有办法解除，如果影响到用户接收验证码，亲可以考虑接入语音验证码作为短信验证码的补充。
常用回复,回复短信记录,,,," 如何查看回复短信记录：国内短信-发送记录-用户回复记录-导出-导出后可在系统设置-导出记录里查看 
"
常用回复,短链接,,,,"由于短连接功能是用户主动产生动作才会收到点击量的哦~这个不是云片系统可以检测到的，如果是用的我们的短连接，只要客户主动发生点击的动作就可以看到点击量哦亲~ 
"
常用回复,状态返回成功_实际没收到,,,,"状态报告是真实的噢，如果返回接收成功，但手机端没收到： 
手机是不是长时间不关机，可以关机重启下 
手机收件箱是不是已满，删除一些看是否可以正常接收 
手机是不是双卡双待的手机，把卡拿出来换一下卡槽 
手机是不是安装了安全软件，安全软件有可能会进行拦截到垃圾信箱里 
如若不行，请您将SIM卡换到其他手机上进行测试 "
常用回复,等待,,,,"请您耐心等待 客服正在为您查询中~
"
常用回复,手机密保信息修改,,,,"密保手机更改信息：本公司：   因： ，需要将密保手机：   变更为密保手机：  ，账户内后续出现任何问题，由本公司承担。截图您的云片主页，填好之后发邮件到： wangyujue@qipeng.com，并抄送liping@yunpian.com
"
常用回复,账户信息变更,,,,"账户变更信息：本公司： 因： ，需要将账户： 变更为账户： ，账户内后续出现任何问题，由本公司承担。截图您的云片主页，填好之后发邮件到：wangyujue@qipeng.com并抄送给liping@yunpian.com
"
常用回复,防骚扰规则,,,,"一、防骚扰限制（无论什么级别的客户都有）： 
同1个手机发相同内容，30秒内最多发送1次，5分钟内最多发送3次。 
二、验证码防轰炸规则： 
1，同一手机号同一个验证码模板，每30秒只能获取一条。 
2，同一个手机号验证码类内容，每小时最多能获取3条。 
3，同一个手机号验证码类内容，每天最多能获取到10条。 
防轰炸规则取消：您可以在 设置-系统设置-防轰炸规则-自行开启或关闭 
三、运营商层面的频率限制 
目前有2种不同的频率限制 A 10秒一条，24小时30条；B 24小时100条~"
常用回复,销售转单,,,,"您好，请提供以下信息： 
1、若有云片账号，请提供一下您的云片账号（手机号或邮箱）~ 
2、您的公司名与公司地址； 
3、您的姓名与联系方式（手机与邮箱）； 
4、公司所在主地区和公司类型~ 
我们这边帮您提交工单，对接一下我们的商务人员噢~:blush:"
常用回复,导出数据,,,,"为了保障数据安全，数据导出需求请客户： 
用企业邮箱发送邮件至：shanshan@yunpian.com 
主题：数据导出申请 
内容：子账号+ 导出数据时间+用途及原因 
需备注：后续账户存在的信息泄露，均由本公司承担。 
附带账户主页截图 
我们负责数据导出的同事收到邮件后，会在1-3个工作日内以邮件形式回复。"
国际短信问题,国际短信怎么调用接口发送,,,,"跟国内短信发送调用一致，唯一的区别是mobile参数，国际短信仅支持单号码发送，格式必须是""+""号开头，带有国际地区前缀号码的完整号码，否则将被认为是中国地区的号码  mobile=+190332748"
国际短信问题,报错mobile参数不在可发送列表内,,,,您那边没有创建国际短信模板，调用国内模板来发送的国际号码。请去云片后台左侧——国际短信——模板报备里，提交新的模板，审核通过后就可以调用了哦~
国际短信问题,报错号码格式错误,,,,Mobile参数没有传递+号，也有可能是添加了+号没有转义。
国际短信问题,国际短信发送记录,,,,通过国际短信模板发送的国内短信，显示在国际短信的发送记录内。左侧——国际短信——短信记录。
国际短信问题,开通国际短信注意事项_,,,,"这边开通的注意事项的是，发送国际短信需要设置新的模板
港澳台支持发送中文模板，韩国日本支持发送日文韩文模板，
除以上地区之外，即使您发送给国外的中国人，如果他们用的是国外的号码，都必须使用英文模板。"
extend能自扩展,extend能自扩展,,,,"用途：可以清楚了解到用户回复到哪条具体短信
A客户向B用户推送3条活动确认短信，现B用户回复其中2条短信作为确认参加的说明，A客户需要怎么操作可以确认B用户回复的是哪2条：
A：send.json
Apikey Text 
Extend 活动一001 活动二002 活动三003
Mobile
10690370+413303+ 扩展1~6位
     固定      系统匹配    后面扩展"
extend能自扩展,自定义uid是什么意思怎么开通,,,,Uid，user id 即用户自己给发送的短信编写id，默认是sid
语音验证码,什么是语音验证码,,,,云片的语音验证码，是指通过电话直呼到用户手机并语音播放验证码，默认最多播放2次。
语音验证码,语音验证码的价格,,,,语音价格与短信价格一致，累计充值低于5000元：5分5；累计充值超过5000元：5分。
语音验证码,语言验证码怎么接入,,,,"接入api文档：
V1：https://www.yunpian.com/api/voice.html
V2：https://www.yunpian.com/api2.0/voice.html
两个接口都可以用的。"
语音验证码,语言验证码可以发自定义内容吗,,,,不支持。
语音验证码,透传号码是什么_display_num_即显示号码,,,,直呼到用户手机上显示的号码，默认是号码池的随机号。不支持自定义。
语音验证码,语音__返回码106是什么意思,,,,透传号码未报备导致的  （ 透传号码=display_num=4000812798）
需发邮箱,邮件处理时效,,,,邮箱处理一般是1个工作日，处理好后我们会邮件回复，到时您关注下邮箱哈~
需发邮箱,账号变更问题,,,,"账户变更信息：本公司： 因： ，需要将账户： 变更为账户： ，账户内后续出现任何问题，由本公司承担。截图您的云片主页，填好之后发邮件到： songtaijin@qipeng.com  ，并抄送给liping@yunpian.com。注：请用公司邮箱地址发送邮件。   


"
需发邮箱,短信记录导出,,,,"短信记录导出，请用公司邮箱发送邮件报备：
（并附上云片后台登陆截图）
标题：xx公司申请短信记录导出
 因我公司xx原因，申请导出xx时间段的短信记录。
 注：云片后台登录账号 xxx
收件：sunjumei@yunpian.com 抄送：jiayan@yunpian.com"
需发邮箱,资金转移流程,,,,"主题：xx公司的新老账户转账申请
内容：由于本公司xx原因，需要申请新账号，并将老账户的余额全部转入新账户，老账户存在的一切使用问题，均由本公司承担。
 现申请将账户名为xx的云片账号余额转入账户名为xx的云片账号中。
 xx公司 x年x月x日 （请附上云片账户后台截图）
收件人：sunjumei@yunpian.com 
抄送：jiayan@yunpian.com
请用公司邮箱发送。"
需发邮箱,apikey重置_,,,,"主题：apikey更换重置
内容：由于本公司xx原因，需要申请重置apikey，账户存在的一切使用问题，均由本公司承担。
 xx公司 x年x月x日 （请附上云片账户后台管理控制台截图）
收件人：miaoqianyu@yunpian.com 
抄送：jiayan@yunpian.com
请用公司邮箱发送。

"
需发邮箱,密保手机变更问题,,,,"密保手机更改信息：本公司：   因： ，需要将密保手机：   变更为密保手机：  ，账户内后续出现任何问题，由本公司承担。截图您的云片主页，填好之后发邮件到：   songtaijin@qipeng.com  ，并抄送给liping@yunpian.com。注：请用公司邮箱地址发送邮件。 
"
发票及充值,发票问题,,,,"关于发票：
1、支持普通发票和增值税（开6个点）发票；2、发票金额大于200时包邮寄送；3、每月25号之前，提交后3-5个工作日寄出； 4、每月25-30日为公司内部结算日不再开票，申请的发票次月初寄出，请合理安排发票申请时间。"
发票及充值,有问题的发票退回_,,,,"1、退回问题发票，附带拒收证明（拒绝到付）
地址：杭州市西湖区紫霞街176号杭州互联网创新创业园1幢10楼，孙菊梅，15576235329
2、转7元快递费至支付宝账户：pay@yunpian.com，转好后请提供转账支付宝账户及转账截图给我。
3、收到发票后我联系您，重新提交正确的发票信息，重新开具。
4、留个方便联系的电话号码。"
需客户提供信息（退款及发票问题）,合同所需信息,,,,"合同需要的信息：
公司名称 
合同金额 
合同单价 
短信应用类型 （验证码、内部通知、系统提醒、企业会员营销、其他通知类短信）
联系人 
手机（务必要用手机号，座机无法正常提交） 
地址
需要纸质的还是电子版（电子版可以盖电子章，同样有法律效益）需要纸质的提供下收件信息，需要电子版的提供下邮箱"
需客户提供信息（退款及发票问题）,退款所需信息,,,,麻烦提供下这些信息：退款需要填写的信息：1.云片账户；2.退款金额；3.是否有开票记录；4.退款原因；5.支付宝账户（原充值账户）；6.支付宝对应的姓名
图片验证码问题,高级用户图片验证码要求_,,,,"有效的图片验证码需要符合以下两点：
1.输入错误的图片验证码，验证码图片立即更换
2.输入正确的图片验证码，旧的图片验证码需要立即更换。"
图片验证码问题,什么是图片验证码_,,,,什么是图片验证码：https://blog.yunpian.com/?p=50
图片验证码问题,图片验证码的作用_,,,,"1、它可以有效的防范恶意攻击者采用恶意工具，调用“动态验证码短信获取”接口进行动态短信发送，导致接入用户短信被刷，造成账号余额损失。
2、同时这种动态发送方式会朝许多无关的手机用户，发送很多验证码短信，导致手机用户被骚扰，甚至引起用户投诉。这种恶意攻击究其原因是攻击者可以自动对接口进行大量调用。
 如果网站在用户进行“动态验证码短信发送” 操作前，要求用户输入图片验证码，确认用户是真实有效后，服务器端再发送动态短信到用户手机上。这一种流程就可以有效的解决恶意攻击问题。"
图片验证码问题,正确加入图片验证码的方式_,,,,正确加入图片验证码的方式：：是在短信验证码发送前，先让用户填写图片验证码，再发送短信验证码。
图片验证码问题,高级用户app不加图片验证可以使用该快捷,,,,"一个实际有效的验证码必须满足： 
（1）生成过程安全：图片验证码必须在服务器端进行产生与校验；（2）使用过程安全：单次有效，且以用户的验证请求为准；
（3）验证码自身安全：不易被识别工具识别，能有效防止暴力破解。
哪些网站使用了图片验证码： 
网易邮箱注册 http://reg.email.163.com/unireg/call.do?cmd=register.entrance&from=163mail_right 
pptv注册 http://www.pptv.com/"
图片验证码问题,图片验证码规范_,,,,"碰到轰炸，首先要：确认轰炸/攻击来源，判断是哪个注册入口遭到攻击
1、基础防范措施：
A、同一个号码单位时间内发送次数限制
B、同IP请求次数判断与限制
C、同设备请求次数判断与限制
2、对请求的增加效验机制：
A、PC端，微信端图片验证码，程序前后端需进行效验，并且满足“填错或不填图片验证码，不允许用户获取短信验证码”的逻辑
B、对请求增加其他效验机制，例如APP端增加版本号效验等等。
3、限制用户请求来源：
微信端、APP端的注册入口，需要对来自PC端的请求做限制和过滤，主要是大多数恶意程序都是来自PC端的。"
图片验证码问题,图片验证码为什么能防范短信轰炸_,,,," 恶意攻击者采用恶意工具,调用“动态验证码短信获取”接口进行动态短信发送, 究其原因是攻击者可以自动对接口进行大量调用。 
采用图片验证码可有效防止恶意工具的自动化调用,即当用户进行“动态验证码短信发送” 操作前, 弹出图片验证码,要求用户输入验证码后,服务器端再发送动态短信到 用户手机上,该方法可有效解决被利用实施炸弹攻击的问题。 
安全的图片验证码必须满足: 生成过程安全:图片验证码必须在服务器端进行产生与校验; 使用过程安全:单次有效,且以用户的验证请求为准; 验证码自身安全:不易被识别工具识别,能有效防止暴力破解。 "
轰炸问题,什么是验证码轰炸,,,,"验证码轰炸是指网页上的获取验证码功能被恶意调用，给某个用户手机（或通过多个手机请求发送）频繁发送验证码短信，对其造成非常负面的影响。
对您来说，如果接口被轰炸，会导致您的账户余额被消耗，甚至签名被运营商禁用，影响您的正常用户获取验证码。"
轰炸问题,什么是轰炸,,,,短信轰炸：：1、指在短时间内通过恶意程序，批量、循环给一批手机号码无限发送各种无效短信的行为，导致接收短信的手机用户被骚扰 ，给业务方造成品牌及业务不良影响。2、成百上千的不同手机号码同时轰炸页面，导致账户短信被刷。
轰炸问题,怎样预防轰炸,,,,"碰到轰炸，首先要：确认轰炸/攻击来源，判断是哪个注册入口遭到攻击 
1、基础防范措施： 
A、同一个号码单位时间内发送次数限制 
B、同IP请求次数判断与限制 
C、同设备请求次数判断与限制 
2、对请求的增加效验机制： 
A、PC端，微信端图片验证码，程序前后端需进行效验，并且满足“填错或不填图片验证码，不允许用户获取短信验证码”的逻辑 
B、对请求增加其他效验机制，例如APP端增加版本号效验等等。 
3、限制用户请求来源： 
微信端、APP端的注册入口，需要对来自PC端的请求做限制和过滤，主要是大多数恶意程序都是来自PC端的。"
轰炸问题,什么是短信轰炸短信炸弹,,,," 短信轰炸、短信炸弹，是指通过恶意程序，利用从各个网站上找到的动态短 URL （比如验证码发送的URL)和 前端输入的被攻击者手机号码,发送 HTTP 请求,每次请求给用户发送一个动态的短信（比如验证码短信）。 最终的效果，就是朝许多无关的手机用户，发送很多验证码短信。导致手机用户被骚扰。 
"
流量问题,流量充值之后有短信提醒吗,,,,电信、联通是有官方短信提醒，中国移动的没有。
流量问题,充值了怎么没到账,,,,可以看下状态，如果是等待返回有可能是月末月初流量高峰延时到账，延时有可能72小时。
流量问题,流量业务是什么,,,,可以通过api接口调用的方式向指定的手机号充值对应的流量包。可用在各类运营活动中。
流量问题,流量api,,,,"流量api：V1：https://www.yunpian.com/api/flow.html
V2：https://www.yunpian.com/api2.0/flow.html"
操作步骤回复,发票申请_,,,,进入后台-左侧-财务-申请发票。
操作步骤回复,线下凭证提交_,,,,进入后台-左侧-财务-线下充值。对公转账的信息无误的话，提交后5分钟内系统自动审核好即可到账；支付宝转账的需要财务审核，请耐心等待。
操作步骤回复,高级用户申请_,,,,进入后台-左侧-设置高级用户申请。
操作步骤回复,添加签名/模板_,,,,进入后台-左侧-国内短信-签名/模板新增，审核通过后即可使用。
操作步骤回复,国际短信_,,,,进入后台-左侧-更多产品-国际短信-模板报备，模板和签名一起提交，审核通过后即可调用接口发短信。
操作步骤回复,开发者认证信息_,,,,"进入后台-左侧-设置-账户设置-开发者认证信息
"
操作步骤回复,添加子账号_,,,,进入后台-左侧-设置-账户设置-创建子账号
操作步骤回复,防轰炸规则查看_,,,,进入后台-左侧-设置-系统设置-防轰炸规则
操作步骤回复,敏感信息保护设置_,,,,进入后台-左侧-设置-系统设置-敏感信息保护-开启或关闭。
操作步骤回复,短信发送异常记录查看_,,,,进入后台-左侧-设置-国内短信-短信记录-发送异常记录。
操作步骤回复,ip白名单设置_,,,,"ip白名单可以自主添加（添加具体的ip地址）或直接关闭，
云片后台-设置-系统设置-ip白名单"
操作步骤回复,api文档_,,,,"调接口发短信时用的api文档：
API 2.0 https://www.yunpian.com/api2.0/howto.html
API 1.0 https://www.yunpian.com/api/howto.html
两个都可以使用。"
操作步骤回复,手工群发短信,,,,"点击云片后台“国内短信”找到“短信群发”，在“手机号码”那边下载表格 第一列填写要发送人的手机号 第二列的var1填写对应的变量具体的内容，后面的以此类推，上传表格 短信内容就是编辑带有有#var1#,#var2#变量等的内容。没有变量就直接就输入手机那一列就好了哦~"
操作步骤回复,高级用户取消,,,,"进入后台-管理控制台，点击“高级”的标志进去，点击“取消高级用户”，即可取消
"
常用回复,长时间未对话,,,," 您好，您尽快联系我们哦，如果长时间不对话，会话会关闭的，您下次也可以再次联系我们，直接说您的诉求的，客服人员看到都会处理的~ 
"
常用回复,A类坚持要解除,,,,请用本机编辑内容：本人确保本机不再以任何形式投诉及退订106开头的短信，同时申请开通【xx签名】 发送至 18106530601
操作步骤回复,禁用账号,,,,进入后台-左侧-设置-账户设置-子账号管理里面-倒三角的修改按钮
流程问题,转账,,,,"转账：短信的转账申请需要用公司邮箱发送邮件报备，格式如下：
 主题：xx公司的新老账户转账申请
 内容：由于本公司xx原因，需要申请新账号，并将老账户的余额全部转入新账户，老账 户存在的一切使用问题，均由本公司承担。
 现申请将账户名为xx的云片账号余额转入账户名为xx的云片账号中。
 xx公司 x年x月x日 
 收件人：jiayan@yunpian.com 抄送：liping@taovip.com ps：可以按照实际情况填写，并附上两个账户登录页面的截图"
流程问题,导出短信记录,,,,"导出短信记录：jiayan@yunpian.com
格式如下：账号 导出数据时间 用途及原因
后续账户存在的信息泄露，均由本公司承担。
附带账户主页截图

导信息邮件格式"
流程问题,账户变更信息/账户密保手机号变更,,,,账户变更信息/账户密保手机号变更（两者选一下自己的需求）：本公司因 ，需要将账户： 变更为账户： ，账户内后续出现任何问题，由本公司承担。再附上登陆云片账户后台的页面（证明这个账户是您一直在使用的哦)填好之后发邮件到：liping@taovip.com 并抄送给taoting@taovip.com
流程问题,验证码设置,,,,"验证码设置：这个是图片验证码的参考demo，您让技术看一下
https://blog.yunpian.comp=50
下面是网易注册入口，是合格的
http://reg.email.163.com/unireg/call.do?cmd=register.entrance&from=163navi&regPage=163"
流程问题,签名/模板申请报备流程,,,,签名/模板申请报备流程：云片主页-----国内短信----模板/签名报备
流程问题,新用户操作流程,,,,"新用户操作流程：
首先，在云片官网注册账号，账户内有10条测试短信；
其次，填写好开发者信息，添加好ip白名单，让您那边的技术设置好短信发送的签名和模板，然后接入我们的短信api：https://www.yunpian.com/api/sms.html；
测试成功后即可充值批量发短信了。"
流程问题,ip白名单,,,,"ip白名单可以自主关闭/开启哈，
云片后台-设置-系统设置-ip白名单。"
流程问题,语音验证码短信固话报备所需材料,,,,语音验证码短信固话报备所需材料： 1、固话号码的授权（运营商盖章的）或者号码签署协议、或者上一个月的缴费发票。 2、公司的营业执照。 3、业务说明。 4、号码归属证明。
流程问题,凡科的教程,,,,凡科的教程：http://jz.faisco.com/blog/3429
流程问题,合同,,,,"""合同需要的信息：公司名称 
合同金额 
合同单价 
短信应用类型 （验证码、内部通知、系统提醒、其他通知类短信）
联系人 
手机（务必要用手机号，座机无法正常提交）地址
需要纸质的还是电子版（电子版可以盖电子章，同样有法律效益）需要纸质的提供下收件信息，需要电子版的提供下邮箱"""
流程问题,专用通道切回,,,,"""专用通道切回邮件：请贵公司用企业邮箱向我司发出邮件申请：
收件人：liping@taovip.com 抄送：jiayan@yunpian.com、zhangjianwei@yunpian.com
标题：xx公司专用通道重申

内容：我公司已明确排查之前短信被刷接口漏洞，并做出以下防护：

 1.已对App注册页进行单个号码24小时获取验证码频率限制10次；
 2.已增设同一ip访问限制；
 3.已对用户注册APP版本进行验证拦截
 4.已限制来自于PC端的验证码获取请求

现重新申请配置专用通道，观察期为邮件发起日起2周。
 

xx有限公司 xx年xx月xx日"""
流程问题,退款,,,,退款需要填写的信息：1.云片账户；2.退款金额；3.是否有开票记录（有申请发票的请将发票寄回来才能处理退款）；4.退款原因；5.支付宝账户（当时充值的银行信息或者支付宝账户，因为退款是原路返回的）；6.支付宝对应的姓名
流程问题,新用户流程,,,,"首先，您在云片官网注册账号，账户内有0.5元的余额可以测试短信；
其次，在账户设置里填写好开发者信息，在系统设置添加好ip白名单，让您那边的技术设置好短信发送的签名和模板，然后接入我们的短信api：https://www.yunpian.com/api2.0/guide.html；
测试成功后即可充值发短信了。"
流程问题,处理轰炸流程,,,,"1、碰到轰炸，首先要：确认轰炸/攻击来源，判断是哪个注册入口遭到攻击
2、基础防范措施:
A、同一个号码单位时间内发送次数限制
B、同IP请求次数判断与限制
C、同设备请求次数判断与限制
3、对请求的增加效验机制：
A、PC端，微信端图片验证码，程序前后端需进行效验，并且满足“填错或不填图片验证码，不允许用户获取短信验证码”的逻辑
B、对请求增加其他效验机制，例如APP端增加版本号效验等等。
4、限制用户请求来源：
微信端、APP端的注册入口，需要对来自PC端的请求做限制和过滤，主要是大多数恶意程序都是来自PC端的。"
流程问题,变更apikey,,,,"您用您云片登录邮箱发送邮件给jiayan@yuanpian.com,抄送给liping@yunpian.com,说明下您账户的情况，需要重置apikey，然后提供云片账号首页的截图哦"
流程问题,群发,,,,"比如您要给2个号码发送一个内容。其他内容一样只是客户名字不同。在群发短信这里提交模板【云片网】#var1#您的验证码请保存 
那么您下载表格之后再里面填写两个人的手机号码。 表格里 #var1#里填写对应手机号码的用户名字：王小姐、李小姐 然后表格上传。那么对应下发出去的内容就是：【云片网】王小姐您的验证码请保存和【云片网】李小姐您的验证码请保存。  `�OҝV�j"
流程问题,合同2,,,, 上面的信息一次性给我哈 然后我帮您去拟定 拟定好了我会发给您 您让您的法务看下，没有问题就回传给我，我去帮您走我们这边的法务流程 
流程问题,有效图片验证码流程,,,,"第一次输入手机号--输入图片验证码--获取短信验证码 
第二次换一个手机号输入--不输入图片验证码（依旧是第一次输入的那个) ---直接可以获取到验证码 
有效的图片验证码需要符合： 
点击获取验证码按钮之后，旧的图片验证码需要立即更换。  "
流程问题,语音验证码的限制,,,,"1、基于透传号码配置是否启用语音验证码限制：
同一被叫号码30s内最多发送1条，超出后拒绝发送并且告警。
同一被叫号码10分钟内最多发送2条，超出后拒绝发送并且告警。
同一被叫号码一天内最多发送3条，超出后拒绝发送并且告警。"
流程问题,高级用户创建模板,,,,"1 创建一个营销子账号
2 新增营销账号下的营销签名 
3 新增营销模板  后面2个步骤不要忘记了哦，都要选择“营销”类型的哈"
名词解释,短信每条发几个字,,,,"短信每条发几个字：一条短信是70个字，中英文标点都算一个。 例如：云片ab12。这样算是7个字。
超过70个按照67个来计算条数，最长可发400字。一条短信（在手机上显示的）最长可以发400字，400/67=5.9; 也就是要扣6条短信费用，70字以内的短信都扣1条短信费用"
名词解释,国际短信字数计费标准,,,,"国际短信字数计费标准：中国大陆：70字计1条短信费，超出70字则以67字每条计费。单个汉字、英文和标点都算1个字。
港澳台
中文：70字计1条短信费，超出70字则以66字每条计费。
纯英文：140字计1条短信费，超出140字则以132字每条计费。
日本
日文：50字计1条短信费，超出50字则以46字每条计费。
纯英文：100字计1条短信费，超出100字则以92字每条计费。
韩国
繁体中文、韩语：70字计1条短信费，超出70字则以65字每条计费。
纯英文：140字计1条短信费。
其他国家地区：140字计1条短信费，超出140字则以132字每条计费。仅支持纯英文"
名词解释,短信单价,,,,"账户余额以预充的方式，每次预充不得低于50元。
累计充值低于5000元，按照（5分/条）扣除短信费用，
累计充值超过5000元，按照（4.8分/条）扣除短信费用"
